"NARATIVE","ORD","LATITUDE","LONGITUDE"
"SECA NORTH AMERICA EAST COAST",183,24.443611111111,-85.105277777778
"SECA NORTH AMERICA EAST COAST",184,24.649166666667,-85.531666666667
"SECA NORTH AMERICA EAST COAST",185,24.738055555556,-85.719722222222
"SECA NORTH AMERICA EAST COAST",186,24.899166666667,-85.999722222222
"SECA NORTH AMERICA EAST COAST",187,25.178888888889,-86.501944444444
"SECA NORTH AMERICA EAST COAST",188,25.720833333333,-86.353888888889
"SECA NORTH AMERICA EAST COAST",189,26.220277777778,-86.1125
"SECA NORTH AMERICA EAST COAST",190,26.456111111111,-86.220833333333
"SECA NORTH AMERICA EAST COAST",191,26.562777777778,-86.618611111111
"SECA NORTH AMERICA EAST COAST",192,26.023333333333,-87.493055555556
"SECA NORTH AMERICA EAST COAST",193,25.706944444444,-88.55
"SECA NORTH AMERICA EAST COAST",194,25.781666666667,-90.494722222222
"SECA NORTH AMERICA EAST COAST",195,25.744166666667,-90.784722222222
"SECA NORTH AMERICA EAST COAST",196,25.861944444444,-91.880555555556
"SECA NORTH AMERICA EAST COAST",197,26.295555555556,-93.066388888889
"SECA NORTH AMERICA EAST COAST",198,25.998611111111,-93.564444444444
"SECA NORTH AMERICA EAST COAST",199,26.008888888889,-95.6575
"SECA NORTH AMERICA EAST COAST",200,26.009166666667,-96.808333333333
"SECA NORTH AMERICA EAST COAST",201,25.975555555556,-96.924444444444
"SECA NORTH AMERICA EAST COAST",202,25.970833333333,-96.978055555556
"SECA NORTH AMERICA EAST COAST",203,25.966111111111,-97.031666666667
"SECA NORTH AMERICA EAST COAST",204,25.961388888889,-97.085555555556
"SECA NORTH AMERICA EAST COAST",205,25.956666666667,-97.139166666667
"SECA NORTH AMERICA EAST COAST",206,25.956666666667,-97.146388888889
"SECA NORTH AMERICA EAST COAST",301,25.956666666667,-98
"SECA NORTH AMERICA EAST COAST",302,31,-98
"SECA NORTH AMERICA EAST COAST",303,31,-83
"SECA NORTH AMERICA EAST COAST",304,45,-71
"SECA NORTH AMERICA EAST COAST",305,49,-71.4
"SECA NORTH AMERICA EAST COAST",306,52,-59
"SECA NORTH AMERICA EAST COAST",307,60,-65
"SECA NORTH AMERICA HAWAII",1,22.548333333333,-153.009166666667
"SECA NORTH AMERICA HAWAII",2,23.101388888889,-153.476666666667
"SECA NORTH AMERICA HAWAII",3,23.536388888889,-154.036666666667
"SECA NORTH AMERICA HAWAII",4,23.863055555556,-154.613333333333
"SECA NORTH AMERICA HAWAII",5,24.363611111111,-155.853611111111
"SECA NORTH AMERICA HAWAII",6,24.696388888889,-156.4575
"SECA NORTH AMERICA HAWAII",7,24.959166666667,-157.371388888889
"SECA NORTH AMERICA HAWAII",8,25.228055555556,-157.903611111111
"SECA NORTH AMERICA HAWAII",9,25.425277777778,-158.51
"SECA NORTH AMERICA HAWAII",10,25.521944444444,-159.163055555556
"SECA NORTH AMERICA HAWAII",11,25.508611111111,-159.905833333333
"SECA NORTH AMERICA HAWAII",12,25.364722222222,-160.664722222222
"SECA NORTH AMERICA HAWAII",13,25.001666666667,-161.6425
"SECA NORTH AMERICA HAWAII",14,24.680277777778,-162.220277777778
"SECA NORTH AMERICA HAWAII",15,24.264722222222,-162.718888888889
"SECA NORTH AMERICA HAWAII",16,23.680555555556,-163.216666666667
"SECA NORTH AMERICA HAWAII",17,23.055555555556,-163.549444444444
"SECA NORTH AMERICA HAWAII",18,22.335833333333,-163.744722222222
"SECA NORTH AMERICA HAWAII",19,21.6125,-163.7675
"SECA NORTH AMERICA HAWAII",20,20.923888888889,-163.628888888889
"SECA NORTH AMERICA HAWAII",21,20.226111111111,-163.320277777778
"SECA NORTH AMERICA HAWAII",22,19.650833333333,-162.896666666667
"SECA NORTH AMERICA HAWAII",23,19.161944444444,-162.343055555556
"SECA NORTH AMERICA HAWAII",24,18.654444444444,-161.320555555556
"SECA NORTH AMERICA HAWAII",25,18.508611111111,-160.641666666667
"SECA NORTH AMERICA HAWAII",26,18.491944444444,-159.938055555556
"SECA NORTH AMERICA HAWAII",27,18.178055555556,-159.235555555556
"SECA NORTH AMERICA HAWAII",28,17.521388888889,-158.948611111111
"SECA NORTH AMERICA HAWAII",29,16.901666666667,-158.508055555556
"SECA NORTH AMERICA HAWAII",30,16.430277777778,-157.990277777778
"SECA NORTH AMERICA HAWAII",31,15.999166666667,-157.293055555556
"SECA NORTH AMERICA HAWAII",32,15.676944444444,-156.351666666667
"SECA NORTH AMERICA HAWAII",33,15.626666666667,-155.371111111111
"SECA NORTH AMERICA HAWAII",34,15.729444444444,-154.776944444444
"SECA NORTH AMERICA HAWAII",35,15.925555555556,-154.218055555556
"SECA NORTH AMERICA HAWAII",36,16.774166666667,-152.819722222222
"SECA NORTH AMERICA HAWAII",37,17.561666666667,-152.008888888889
"SECA NORTH AMERICA HAWAII",38,18.504444444444,-151.506666666667
"SECA NORTH AMERICA HAWAII",39,19.046388888889,-151.371388888889
"SECA NORTH AMERICA HAWAII",40,19.579444444444,-151.329722222222
"SECA NORTH AMERICA HAWAII",41,20.128333333333,-151.382777777778
"SECA NORTH AMERICA HAWAII",42,20.645277777778,-151.526666666667
"SECA NORTH AMERICA HAWAII",43,21.485833333333,-151.997222222222
"SECA NORTH AMERICA HAWAII",44,22.116111111111,-152.523611111111
"SECA NORTH AMERICA HAWAII",45,22.548333333333,-153.009166666667
"SECA NORTH AMERICA WEST COAST",1,32.536111111111,-117.103055555556
"SECA NORTH AMERICA WEST COAST",2,32.534444444444,-117.124722222222
"SECA NORTH AMERICA WEST COAST",3,32.5275,-117.238888888889
"SECA NORTH AMERICA WEST COAST",4,32.553611111111,-117.263888888889
"SECA NORTH AMERICA WEST COAST",5,32.5725,-117.366944444444
"SECA NORTH AMERICA WEST COAST",6,32.589722222222,-117.464722222222
"SECA NORTH AMERICA WEST COAST",7,32.627222222222,-117.826111111111
"SECA NORTH AMERICA WEST COAST",8,31.133055555556,-118.605833333333
