"NARATIVE","ORD","LATITUDE","LONGITUDE"
"IRAN",109,24.704888,66.388321
"IRAN",111,24.633091,66.722674
"IRAN",113,23.981234,67.103122
"IRAN",115,23.619364,67.509629
"IRAN",117,23.390161,67.857056
"IRAN",119,23.780318,68.212738
"IRAN",121,23.833089,67.995758
"IRAN",122,23.826808,67.824097
"IRAN",124,24.011344,67.425842
"IRAN",126,24.302047,67.428589
"IRAN",128,24.567108,67.414856
"IRAN",130,24.775513,67.410736
"IRAN",132,24.832857,67.118225
"IRAN",134,24.880207,66.968536
"IRAN",136,24.842827,66.676025
"IRAN",138,25.168902,66.769409
"IRAN",140,25.353955,66.604614
"IRAN",142,25.551115,66.654053
"IRAN",144,25.618001,66.575775
"IRAN",146,25.636574,66.31073
"IRAN",148,25.570937,66.137695
"IRAN",150,25.442035,66.074524
"IRAN",152,25.408547,65.78064
"IRAN",154,25.389939,65.456543
"IRAN",156,25.393661,65.227203
"IRAN",158,25.322925,65.196991
"IRAN",160,25.335338,64.833069
"IRAN",162,25.275745,64.546051
"IRAN",164,25.262085,64.407349
"IRAN",165,25.303062,64.2659
"IRAN",167,25.464354,64.235687
"IRAN",169,25.500306,64.109344
"IRAN",171,25.432113,63.911591
"IRAN",173,25.382495,63.790741
"IRAN",175,25.368846,63.488617
"IRAN",176,25.363882,63.495483
"IRAN",178,25.232274,63.469391
"IRAN",180,25.243454,63.301849
"IRAN",181,25.268294,63.134308
"IRAN",183,25.226063,62.988739
"IRAN",185,25.262085,62.74704
"IRAN",186,25.274504,62.498474
"IRAN",188,25.242212,62.446289
"IRAN",190,25.170145,62.330933
"IRAN",192,25.226063,62.211456
"IRAN",194,25.197486,62.034302
"IRAN",196,25.076892,61.858521
"IRAN",197,25.071917,61.855774
"IRAN",198,25.083111,61.843414
"IRAN",200,25.035839,61.767883
"IRAN",201,25.124149,61.765137
"IRAN",202,25.167659,61.678619
"IRAN",204,25.227305,61.550903
"IRAN",206,25.075648,61.390228
"IRAN",208,25.165173,61.188354
"IRAN",210,25.288163,60.625305
"IRAN",212,25.434594,60.600586
"IRAN",214,25.449475,60.444031
"IRAN",216,25.341544,60.402832
"IRAN",218,25.403585,60.26413
"IRAN",220,25.386217,60.037537
"IRAN",221,25.414749,59.80545
"IRAN",223,25.411028,59.618683
"IRAN",224,25.476753,59.485474
"IRAN",226,25.41971,59.018555
"IRAN",228,25.492868,58.955383
"IRAN",229,25.547398,58.846893
"IRAN",231,25.584563,58.791962
"IRAN",233,25.599425,58.561249
"IRAN",235,25.622954,58.305817
"IRAN",236,25.608094,58.043518
